,district_name,grades_inperson_model,grades_hybrid_model,grades_remote_model,predominant_model,organization_type,reporting_period,update_date,alliance_district,remote,remote_num,hybrid_num,inperson_num,R,H,I,predom,city
0,Andover School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Andover, CT"
1,Ansonia School District,PK,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,1,13,1,1,1.0,0.0,0.0,1.0,"Ansonia, CT"
2,Ashford School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Ashford, CT"
3,Avon School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Avon, CT"
6,Barkhamsted School District,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,7,0.0,0.0,3.0,3.0,"Barkhamsted, CT"
7,Berlin School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Berlin, CT"
8,Bethany School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Bethany, CT"
9,Bethel School District,"PK, K, g1, g2","g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,10,4,0.0,2.0,0.0,2.0,"Bethel, CT"
11,Bloomfield School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,1,14,1,1,1.0,0.0,0.0,1.0,"Bloomfield, CT"
12,Bolton School District,"K, g1, g2, g3, g4, g5","PK, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,8,6,0.0,2.0,0.0,2.0,"Bolton, CT"
